WKT,name,description
"POINT (106.7942405 -6.4024844)",Depok,
"POLYGON ((106.7896126 -6.3658692, 106.7834328 -6.3624571, 106.7751931 -6.3624571, 106.7690132 -6.3856588, 106.7710732 -6.3941885, 106.7947624 -6.4180711, 106.7999123 -6.4518459, 106.8177651 -6.4132946, 106.8266915 -6.4194357, 106.8277214 -6.4457052, 106.8445442 -6.4378586, 106.8545006 -6.4337647, 106.8558739 -6.4218239, 106.8637703 -6.408177, 106.8706368 -6.3873647, 106.8720101 -6.3805409, 106.8335579 -6.3781525, 106.8098686 -6.367234, 106.7896126 -6.3658692))",depok,
